machine_id,timestamp,temperature_c,pressure_bar,voltage_mean_v,rotation_mean_rpm,pieces_produced
MACH-01,2025-06-03 15:00:00,44.032,198.821,225.67,1580.66,48
MACH-01,2025-06-03 16:00:00,43.352,198.625,226.46,1587.46,48
MACH-01,2025-06-03 17:00:00,45.302,198.306,226.09,1588.36,40
MACH-01,2025-06-03 18:00:00,44.632,198.74,226.35,1574.96,41
MACH-01,2025-06-03 19:00:00,45.802,199.052,226.57,1589.06,48
MACH-01,2025-06-03 20:00:00,46.872,198.304,227.85,1606.56,56
MACH-01,2025-06-03 21:00:00,46.712,199.389,227.81,1615.26,46
MACH-01,2025-06-03 22:00:00,46.482,197.716,226.06,1594.56,27
MACH-01,2025-06-03 23:00:00,48.419,200.163,227.87,1553.86,23
MACH-01,2025-06-04 00:00:00,48.77,200.284,228.22,1560.86,24
MACH-01,2025-06-04 01:00:00,51.249,200.206,228.62,1589.66,25
MACH-01,2025-06-04 02:00:00,50.325,199.433,228.37,1578.76,20
MACH-01,2025-06-04 03:00:00,51.999,200.114,227.65,1595.06,26
MACH-01,2025-06-04 04:00:00,53.01,202.512,228.92,1607.76,25
MACH-01,2025-06-04 05:00:00,57.629,203.085,229.88,1624.36,50
MACH-01,2025-06-04 06:00:00,55.815,201.105,228.93,1620.36,46
MACH-01,2025-06-04 07:00:00,54.429,201.265,229.32,1616.76,46
MACH-01,2025-06-04 08:00:00,54.86,201.829,229.1,1588.26,47
MACH-01,2025-06-04 09:00:00,54.539,202.72,228.1,1616.26,49
MACH-01,2025-06-04 10:00:00,54.485,202.186,228.72,1619.36,50
MACH-01,2025-06-04 11:00:00,50.469,200.327,227.32,1605.34,41
MACH-01,2025-06-04 12:00:00,49.8,199.512,227.42,1596.04,47
MACH-01,2025-06-04 13:00:00,50.939,200.266,227.03,1609.54,54
MACH-01,2025-06-04 14:00:00,48.435,197.583,226.76,1593.34,39
MACH-01,2025-06-04 15:00:00,50.519,198.815,227.17,1608.74,46
MACH-01,2025-06-04 16:00:00,49.97,197.321,226.79,1585.04,43
MACH-01,2025-06-04 17:00:00,53.129,199.446,227.38,1599.14,50
MACH-01,2025-06-04 18:00:00,52.575,197.503,226.58,1608.44,44
MACH-01,2025-06-04 19:00:00,54.839,198.154,226.85,1634.94,41
MACH-01,2025-06-04 20:00:00,57.83,199.624,227.34,1649.54,61
MACH-01,2025-06-04 21:00:00,58.269,201.103,227.44,1669.44,46
MACH-01,2025-06-04 22:00:00,56.975,199.64,227.91,1626.14,22
MACH-01,2025-06-04 23:00:00,46.212,199.173,225.9,1562.66,18
MACH-01,2025-06-05 00:00:00,49.172,200.439,228.81,1549.76,24
MACH-01,2025-06-05 01:00:00,49.832,200.468,227.22,1575.66,23
MACH-01,2025-06-05 02:00:00,53.042,200.505,228.32,1605.26,24
MACH-01,2025-06-05 03:00:00,51.712,200.459,227.98,1611.76,24
MACH-01,2025-06-05 04:00:00,52.512,198.759,228.4,1583.76,19
MACH-01,2025-06-05 05:00:00,54.822,202.646,228.62,1631.96,42
MACH-01,2025-06-05 06:00:00,56.302,201.795,230.41,1631.66,51
MACH-01,2025-06-05 07:00:00,53.102,201.518,228.12,1601.56,37
MACH-01,2025-06-05 08:00:00,55.282,200.886,228.29,1617.26,53
MACH-01,2025-06-05 09:00:00,49.562,201.631,227.93,1601.16,44
MACH-01,2025-06-05 10:00:00,49.772,200.604,227.37,1610.56,40
MACH-01,2025-06-05 11:00:00,49.682,201.408,227.76,,49
MACH-01,2025-06-05 12:00:00,48.502,198.942,227.77,,53
MACH-01,2025-06-05 13:00:00,46.922,198.544,227.34,,46
MACH-01,2025-06-05 14:00:00,48.702,199.021,226.81,,52
MACH-01,2025-06-05 15:00:00,45.652,198.444,226.13,1562.46,45
MACH-01,2025-06-05 16:00:00,44.252,197.837,226.83,1599.16,48
MACH-01,2025-06-05 17:00:00,45.442,197.628,227.41,1606.36,54
MACH-01,2025-06-05 18:00:00,45.942,198.867,227.6,1606.46,49
MACH-01,2025-06-05 19:00:00,45.612,197.327,227.21,1590.56,46
MACH-01,2025-06-05 20:00:00,46.922,198.491,227.45,1591.86,46
MACH-01,2025-06-05 21:00:00,47.242,200.608,227.49,1589.16,41
MACH-01,2025-06-05 22:00:00,46.612,197.682,227.35,1596.86,26
MACH-01,2025-06-05 23:00:00,48.292,199.277,226.77,1543.66,15
MACH-01,2025-06-06 00:00:00,50.352,201.056,227.03,1577.16,24
MACH-01,2025-06-06 01:00:00,52.412,198.963,227.72,1579.96,19
MACH-01,2025-06-06 02:00:00,52.532,201.334,227.99,1566.46,22
MACH-01,2025-06-06 03:00:00,51.992,199.727,228.28,1606.86,21
MACH-01,2025-06-06 04:00:00,53.002,201.195,227.47,1583.16,26
MACH-01,2025-06-06 05:00:00,54.422,200.901,229.61,1635.06,47
MACH-01,2025-06-06 06:00:00,56.492,201.317,229.17,1598.46,51
MACH-01,2025-06-06 07:00:00,54.072,200.126,228.61,1628.86,48
MACH-01,2025-06-06 08:00:00,52.302,200.352,228.82,1587.96,42
MACH-01,2025-06-06 09:00:00,51.672,202.041,228.58,1578.26,40
MACH-01,2025-06-06 10:00:00,51.952,201.599,227.72,1641.36,49
MACH-01,2025-06-06 11:00:00,50.892,199.856,228.74,1626.06,55
MACH-01,2025-06-06 12:00:00,45.852,196.863,227.59,1605.06,44
MACH-01,2025-06-06 13:00:00,45.552,198.307,227.23,1587.36,47
MACH-01,2025-06-06 14:00:00,46.562,199.334,226.82,1594.46,47
MACH-01,2025-06-06 15:00:00,44.142,197.897,228.23,1623.56,55
MACH-01,2025-06-06 16:00:00,44.702,196.771,226.9,1636.66,41
MACH-01,2025-06-06 17:00:00,42.362,199.378,227.45,1601.66,49
MACH-01,2025-06-06 18:00:00,44.992,197.624,226.73,1607.26,50
MACH-01,2025-06-06 19:00:00,46.752,198.964,226.85,1607.36,50
MACH-01,2025-06-06 20:00:00,46.722,199.023,225.67,1626.86,50
MACH-01,2025-06-06 21:00:00,47.482,199.502,226.44,1578.16,46
MACH-01,2025-06-06 22:00:00,45.402,200.123,226.89,1563.66,19
MACH-01,2025-06-06 23:00:00,46.912,200.294,227.96,1581.76,17
MACH-01,2025-06-07 00:00:00,48.132,199.674,227.84,1599.86,19
MACH-01,2025-06-07 01:00:00,51.722,200.533,226.49,1567.96,29
MACH-01,2025-06-07 02:00:00,51.142,198.974,227.35,1579.56,23
MACH-01,2025-06-07 03:00:00,52.472,201.61,227.72,1607.06,25
MACH-01,2025-06-07 04:00:00,52.282,200.01,228.73,1595.96,27
MACH-01,2025-06-07 05:00:00,55.982,202.321,228.91,1633.36,50
MACH-01,2025-06-07 06:00:00,56.082,201.651,228.66,1618.16,43
MACH-01,2025-06-07 07:00:00,54.852,201.03,229.22,1637.96,47
MACH-01,2025-06-07 08:00:00,53.392,199.778,228.27,1629.86,48
MACH-01,2025-06-07 09:00:00,52.822,200.568,228.86,1597.76,39
MACH-01,2025-06-07 10:00:00,51.372,200.21,227.53,1605.66,45
MACH-01,2025-06-07 11:00:00,50.892,201.357,227.3,1624.16,53
MACH-01,2025-06-07 12:00:00,49.002,200.416,227.07,1622.66,58
MACH-01,2025-06-07 13:00:00,45.952,199.258,227.94,1611.96,52
MACH-01,2025-06-07 14:00:00,45.922,199.029,227.26,1619.76,48
MACH-01,2025-06-07 15:00:00,46.512,197.342,226.51,1563.26,56
MACH-01,2025-06-07 16:00:00,46.822,197.013,226.72,1602.36,47
MACH-01,2025-06-07 17:00:00,,199.892,227.04,1614.16,49
MACH-01,2025-06-07 18:00:00,,198.78,225.71,1581.36,47
MACH-01,2025-06-07 19:00:00,,198.981,226.73,1588.16,46
MACH-01,2025-06-07 20:00:00,,199.334,227.87,1597.76,38
MACH-01,2025-06-07 21:00:00,,199.869,228.31,1573.66,49
MACH-01,2025-06-07 22:00:00,,198.592,226.32,1586.36,21
MACH-01,2025-06-07 23:00:00,,198.437,225.9,1571.06,24
MACH-01,2025-06-08 00:00:00,,198.175,227.41,1559.26,15
MACH-01,2025-06-08 01:00:00,,200.503,227.31,1551.26,20
MACH-01,2025-06-08 02:00:00,48.932,199.186,227.21,1560.46,14
MACH-01,2025-06-08 03:00:00,51.612,200.474,229.0,1559.46,9
MACH-01,2025-06-08 04:00:00,51.082,199.307,228.92,1567.06,9
MACH-01,2025-06-08 05:00:00,50.172,200.304,227.39,1557.16,10
MACH-01,2025-06-08 06:00:00,50.062,200.262,227.85,1571.86,12
MACH-01,2025-06-08 07:00:00,49.632,199.028,226.99,1537.86,9
MACH-01,2025-06-08 08:00:00,48.172,199.998,226.76,1566.06,18
MACH-01,2025-06-08 09:00:00,47.122,198.318,227.01,1593.26,12
MACH-01,2025-06-08 10:00:00,46.812,199.665,228.09,1570.16,17
MACH-01,2025-06-08 11:00:00,43.722,198.474,226.53,1545.76,6
MACH-01,2025-06-08 12:00:00,43.152,196.863,225.85,1515.16,6
MACH-01,2025-06-08 13:00:00,43.222,197.419,226.55,1535.96,15
MACH-01,2025-06-08 14:00:00,41.062,196.1,225.13,1529.96,9
MACH-01,2025-06-08 15:00:00,41.452,198.07,225.71,1525.36,15
MACH-01,2025-06-08 16:00:00,40.282,197.79,224.99,1500.56,12
MACH-01,2025-06-08 17:00:00,37.462,196.45,224.77,1513.56,2
MACH-01,2025-06-08 18:00:00,41.902,196.395,224.75,1550.86,12
MACH-01,2025-06-08 19:00:00,41.382,197.008,226.13,1501.36,7
MACH-01,2025-06-08 20:00:00,42.622,197.045,225.75,1520.66,13
MACH-01,2025-06-08 21:00:00,44.142,198.158,225.56,1548.56,11
MACH-01,2025-06-08 22:00:00,45.002,198.737,226.52,1521.26,10
MACH-01,2025-06-08 23:00:00,45.262,198.963,226.66,1554.16,10
MACH-01,2025-06-09 00:00:00,50.872,200.286,226.78,1569.66,26
MACH-01,2025-06-09 01:00:00,51.942,200.271,227.47,1597.56,27
MACH-01,2025-06-09 02:00:00,50.972,201.205,227.52,1584.16,23
MACH-01,2025-06-09 03:00:00,51.872,200.399,228.35,1595.76,17
MACH-01,2025-06-09 04:00:00,53.442,200.895,227.59,1621.16,24
MACH-01,2025-06-09 05:00:00,55.902,203.381,229.59,1650.26,48
MACH-01,2025-06-09 06:00:00,54.992,203.622,228.07,1626.46,45
MACH-01,2025-06-09 07:00:00,54.812,202.511,228.41,1632.46,50
MACH-01,2025-06-09 08:00:00,54.072,202.008,228.47,1637.96,48
MACH-01,2025-06-09 09:00:00,52.062,201.119,227.92,1603.86,44
MACH-01,2025-06-09 10:00:00,48.522,200.274,227.36,1580.86,40
MACH-01,2025-06-09 11:00:00,50.402,200.417,228.42,1623.26,53
MACH-01,2025-06-09 12:00:00,47.682,198.961,227.42,1647.86,49
MACH-01,2025-06-09 13:00:00,49.232,198.062,226.23,1556.06,43
MACH-01,2025-06-09 14:00:00,46.372,199.993,225.26,1605.16,48
MACH-01,2025-06-09 15:00:00,44.012,197.243,226.61,1591.16,54
MACH-01,2025-06-09 16:00:00,45.112,197.083,227.13,1627.56,49
MACH-01,2025-06-09 17:00:00,44.322,198.147,226.28,1598.66,48
MACH-01,2025-06-09 18:00:00,45.142,199.047,226.79,1572.86,47
MACH-01,2025-06-09 19:00:00,47.122,197.322,226.95,1590.56,46
MACH-01,2025-06-09 20:00:00,46.362,198.369,226.76,1601.86,50
MACH-01,2025-06-09 21:00:00,48.782,198.611,226.76,1612.96,44
MACH-01,2025-06-09 22:00:00,46.982,199.004,226.81,1553.46,24
MACH-01,2025-06-09 23:00:00,47.732,198.968,226.22,1562.06,16
MACH-01,2025-06-10 00:00:00,48.382,199.699,227.1,1605.56,23
MACH-01,2025-06-10 01:00:00,51.192,201.512,227.58,1612.16,24
MACH-01,2025-06-10 02:00:00,52.542,199.753,227.42,1545.46,19
MACH-01,2025-06-10 03:00:00,50.842,201.138,228.28,1613.36,20
MACH-01,2025-06-10 04:00:00,52.272,199.566,228.36,1599.26,26
MACH-01,2025-06-10 05:00:00,54.342,202.163,228.24,1637.06,47
MACH-01,2025-06-10 06:00:00,55.392,202.31,229.16,1632.76,52
MACH-01,2025-06-10 07:00:00,54.192,200.449,228.34,1660.36,46
MACH-01,2025-06-10 08:00:00,55.442,201.328,228.15,1629.26,52
MACH-01,2025-06-10 09:00:00,51.202,202.102,227.18,1637.56,47
MACH-01,2025-06-10 10:00:00,50.982,201.261,228.82,1620.76,45
MACH-01,2025-06-10 11:00:00,48.302,199.608,227.57,1632.66,53
MACH-01,2025-06-10 12:00:00,48.152,200.034,227.98,1596.16,43
MACH-01,2025-06-10 13:00:00,45.332,198.635,227.6,1608.16,43
MACH-01,2025-06-10 14:00:00,46.582,199.667,226.45,1595.46,49
MACH-01,2025-06-10 15:00:00,45.982,198.829,226.95,1605.56,48
MACH-01,2025-06-10 16:00:00,43.782,197.28,226.75,1581.36,43
MACH-01,2025-06-10 17:00:00,43.922,200.017,226.36,1584.96,42
MACH-01,2025-06-10 18:00:00,46.952,198.997,226.86,1618.46,44
MACH-01,2025-06-10 19:00:00,47.852,200.433,226.56,1566.36,53
MACH-01,2025-06-10 20:00:00,48.712,199.732,227.56,1590.76,50
MACH-01,2025-06-10 21:00:00,48.642,200.536,228.91,1625.16,57
MACH-01,2025-06-10 22:00:00,46.442,197.921,227.14,1593.86,24
MACH-01,2025-06-10 23:00:00,49.862,198.808,226.79,1587.86,34
MACH-01,2025-06-11 00:00:00,47.532,198.66,227.26,1556.36,20
MACH-01,2025-06-11 01:00:00,50.862,199.007,228.51,1552.36,22
MACH-01,2025-06-11 02:00:00,51.472,200.532,228.63,1589.26,24
MACH-01,2025-06-11 03:00:00,54.072,200.13,228.29,1594.16,26
MACH-01,2025-06-11 04:00:00,53.992,202.277,228.21,1623.86,25
MACH-01,2025-06-11 05:00:00,57.602,202.749,229.04,1633.06,49
MACH-01,2025-06-11 06:00:00,55.512,200.692,229.46,1632.16,52
MACH-01,2025-06-11 07:00:00,54.672,202.93,229.56,1617.86,49
MACH-01,2025-06-11 08:00:00,54.912,201.068,229.29,1628.46,48
MACH-01,2025-06-11 09:00:00,51.202,200.368,227.25,1610.26,44
MACH-01,2025-06-11 10:00:00,50.472,201.709,228.09,1601.86,40
MACH-01,2025-06-11 11:00:00,48.092,199.2,226.53,1625.46,41
MACH-01,2025-06-11 12:00:00,48.032,200.53,227.9,1702.958,47
MACH-01,2025-06-11 13:00:00,47.722,198.943,227.33,1600.66,52
MACH-01,2025-06-11 14:00:00,44.112,199.189,226.79,1540.965,44
MACH-01,2025-06-11 15:00:00,46.522,197.163,226.57,1597.06,50
MACH-01,2025-06-11 16:00:00,46.002,198.07,226.28,1605.56,55
MACH-01,2025-06-11 17:00:00,43.842,197.925,226.94,1553.56,40
MACH-01,2025-06-11 18:00:00,45.672,199.353,227.99,1577.26,52
MACH-01,2025-06-11 19:00:00,45.212,198.068,225.65,1584.96,43
MACH-01,2025-06-11 20:00:00,47.372,198.1,226.2,1598.56,43
MACH-01,2025-06-11 21:00:00,49.662,198.76,226.94,1596.46,54
MACH-01,2025-06-11 22:00:00,48.262,198.433,228.0,1560.36,21
MACH-01,2025-06-11 23:00:00,49.832,200.673,226.77,1560.26,31
MACH-01,2025-06-12 00:00:00,49.282,196.574,227.37,1564.66,16
MACH-01,2025-06-12 01:00:00,50.432,200.266,227.69,1584.76,23
MACH-01,2025-06-12 02:00:00,52.382,198.388,228.29,1595.26,24
MACH-01,2025-06-12 03:00:00,54.422,199.053,227.55,1570.66,27
MACH-01,2025-06-12 04:00:00,53.912,200.536,228.21,1598.16,29
MACH-01,2025-06-12 05:00:00,55.752,201.278,229.36,1627.141,50
MACH-01,2025-06-12 06:00:00,57.072,201.128,228.18,1603.843,46
MACH-01,2025-06-12 07:00:00,54.122,201.132,228.48,1648.689,55
MACH-01,2025-06-12 08:00:00,53.952,200.428,228.48,1638.53,52
MACH-01,2025-06-12 09:00:00,53.832,200.006,228.55,1661.958,54
MACH-01,2025-06-12 10:00:00,51.492,198.971,228.18,1653.123,52
MACH-01,2025-06-12 11:00:00,50.502,200.672,228.19,1662.125,54
MACH-01,2025-06-12 12:00:00,47.162,200.776,227.61,1640.412,42
MACH-01,2025-06-12 13:00:00,48.422,197.914,227.43,1679.34,48
MACH-01,2025-06-12 14:00:00,45.652,199.68,226.72,1527.404,42
MACH-01,2025-06-12 15:00:00,44.152,199.123,227.1,1746.542,43
MACH-01,2025-06-12 16:00:00,44.572,197.35,226.56,1470.555,43
MACH-01,2025-06-12 17:00:00,46.002,199.16,226.6,1649.15,50
MACH-01,2025-06-12 18:00:00,46.622,198.362,227.86,1900.0,45
MACH-01,2025-06-12 19:00:00,45.042,200.018,226.33,1594.06,48
MACH-01,2025-06-12 20:00:00,47.632,198.739,226.36,1589.66,44
MACH-01,2025-06-12 21:00:00,47.942,198.793,227.01,1611.16,47
MACH-01,2025-06-12 22:00:00,46.982,198.813,226.72,1563.101,21
MACH-01,2025-06-12 23:00:00,47.842,200.208,226.66,1569.909,22
MACH-01,2025-06-13 00:00:00,49.292,199.1,226.6,1604.307,23
MACH-01,2025-06-13 01:00:00,52.172,200.648,227.48,1597.505,23
MACH-01,2025-06-13 02:00:00,49.762,202.118,227.89,1547.131,21
MACH-01,2025-06-13 03:00:00,53.262,200.898,227.77,1571.753,24
MACH-01,2025-06-13 04:00:00,53.722,199.965,227.57,1601.736,18
MACH-01,2025-06-13 05:00:00,55.542,201.365,228.77,1673.173,48
MACH-01,2025-06-13 06:00:00,54.152,202.2,229.36,1788.254,47
MACH-01,2025-06-13 07:00:00,54.442,201.568,227.77,1900.0,45
MACH-01,2025-06-13 08:00:00,53.662,199.322,228.99,1900.0,53
MACH-01,2025-06-13 09:00:00,53.252,200.595,227.35,1900.0,49
MACH-01,2025-06-13 10:00:00,50.862,201.949,227.87,1900.0,49
MACH-01,2025-06-13 11:00:00,47.502,198.784,227.69,1900.0,50
MACH-01,2025-06-13 12:00:00,50.042,199.037,227.34,1673.074,52
MACH-01,2025-06-13 13:00:00,48.862,199.203,227.27,1547.055,48
MACH-01,2025-06-13 14:00:00,46.412,199.879,226.63,1586.674,40
MACH-01,2025-06-13 15:00:00,45.422,198.6,226.78,1587.407,47
MACH-01,2025-06-13 16:00:00,45.442,197.953,226.78,1416.439,49
MACH-01,2025-06-13 17:00:00,41.632,197.924,226.28,1301.988,44
MACH-01,2025-06-13 18:00:00,45.742,198.151,226.38,1635.554,42
MACH-01,2025-06-13 19:00:00,45.602,197.71,226.95,1583.76,48
MACH-01,2025-06-13 20:00:00,48.662,199.254,227.55,1600.16,57
MACH-01,2025-06-13 21:00:00,49.952,199.077,228.24,1620.36,49
MACH-01,2025-06-13 22:00:00,48.652,199.055,227.57,1589.304,25
MACH-01,2025-06-13 23:00:00,48.022,198.75,225.83,1572.183,23
MACH-01,2025-06-14 00:00:00,49.862,199.808,226.68,1591.955,25
MACH-01,2025-06-14 01:00:00,51.322,199.373,228.04,1574.975,17
MACH-01,2025-06-14 02:00:00,53.952,200.038,228.35,1616.437,26
MACH-01,2025-06-14 03:00:00,51.252,200.351,228.03,1587.067,22
MACH-01,2025-06-14 04:00:00,52.152,201.013,228.23,1581.068,27
MACH-01,2025-06-14 05:00:00,58.022,202.793,228.67,1645.671,52
MACH-01,2025-06-14 06:00:00,55.942,200.941,230.12,1759.952,41
MACH-01,2025-06-14 07:00:00,55.762,202.122,228.66,1760.145,43
MACH-01,2025-06-14 08:00:00,52.902,201.964,229.09,1650.754,57
MACH-01,2025-06-14 09:00:00,53.342,199.56,227.8,1871.534,53
MACH-01,2025-06-14 10:00:00,51.092,201.412,227.99,1789.31,49
MACH-01,2025-06-14 11:00:00,50.212,201.343,228.31,1900.0,55
MACH-01,2025-06-14 12:00:00,46.622,198.99,227.31,1618.06,45
MACH-01,2025-06-14 13:00:00,45.212,197.831,226.7,1591.86,43
MACH-01,2025-06-14 14:00:00,44.802,198.7,227.26,1627.46,46
MACH-01,2025-06-14 15:00:00,43.702,198.713,226.04,1618.06,42
MACH-01,2025-06-14 16:00:00,46.312,197.751,226.07,1592.56,44
MACH-01,2025-06-14 17:00:00,44.772,198.846,226.14,1584.46,48
MACH-01,2025-06-14 18:00:00,46.292,198.287,226.81,1579.46,48
MACH-01,2025-06-14 19:00:00,46.452,199.81,227.26,1609.66,55
MACH-01,2025-06-14 20:00:00,48.752,199.745,227.62,1616.96,51
MACH-01,2025-06-14 21:00:00,49.272,199.16,227.48,1576.86,51
MACH-01,2025-06-14 22:00:00,47.172,198.936,227.56,1557.96,20
MACH-01,2025-06-14 23:00:00,47.042,200.305,227.94,1600.06,27
MACH-01,2025-06-15 00:00:00,48.182,198.951,226.67,1547.16,17
MACH-01,2025-06-15 01:00:00,50.719,200.239,228.01,1548.06,9
MACH-01,2025-06-15 02:00:00,50.461,198.889,228.88,1586.16,19
MACH-01,2025-06-15 03:00:00,50.798,200.919,227.67,1573.46,10
MACH-01,2025-06-15 04:00:00,52.911,200.667,228.71,1591.06,15
MACH-01,2025-06-15 05:00:00,51.691,200.762,227.3,1541.26,10
MACH-01,2025-06-15 06:00:00,52.646,200.06,226.66,1599.26,9
MACH-01,2025-06-15 07:00:00,53.369,200.174,227.07,1574.36,17
MACH-01,2025-06-15 08:00:00,49.838,200.573,226.13,1558.46,10
MACH-01,2025-06-15 09:00:00,49.622,198.756,227.9,1573.96,17
MACH-01,2025-06-15 10:00:00,49.523,199.449,226.37,1501.76,9
MACH-01,2025-06-15 11:00:00,46.82,198.11,226.2,1551.66,6
MACH-01,2025-06-15 12:00:00,46.954,196.943,225.37,1526.26,6
MACH-01,2025-06-15 13:00:00,45.374,196.364,225.91,1516.469,9
MACH-01,2025-06-15 14:00:00,46.639,196.864,225.8,1510.927,12
MACH-01,2025-06-15 15:00:00,48.122,197.872,225.29,1545.885,15
MACH-01,2025-06-15 16:00:00,48.66,196.327,225.68,1537.044,12
MACH-01,2025-06-15 17:00:00,50.074,195.712,226.26,1536.202,17
MACH-01,2025-06-15 18:00:00,51.136,195.824,226.22,1557.36,12
MACH-01,2025-06-15 19:00:00,52.593,196.652,226.35,1578.219,5
MACH-01,2025-06-15 20:00:00,56.686,196.887,226.14,1588.177,8
MACH-01,2025-06-15 21:00:00,59.226,198.289,227.24,1619.735,8
MACH-01,2025-06-15 22:00:00,59.741,199.02,227.47,1607.794,6
MACH-01,2025-06-15 23:00:00,65.114,199.3,227.65,1663.452,14
MACH-01,2025-06-16 00:00:00,70.133,200.866,228.65,1682.21,21
MACH-01,2025-06-16 01:00:00,56.273,199.155,229.23,1555.86,20
MACH-01,2025-06-16 02:00:00,58.426,201.588,228.8,1572.36,20
MACH-01,2025-06-16 03:00:00,58.603,199.566,229.84,1559.46,19
